",北洋园校区,年级:2019级 2021级 2020级 2022级
424020,05411,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424021,05412,2105011,化学发展史（翻转）,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424022,05413,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424023,05414,2105053,科普化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424026,05417,2105057,数据分析思维与艺术,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424028,05419,2111328,《左传》导读A,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424029,05420,2111399,国学经典导读,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424030,05421,2111348,应用写作技能与规范（翻转）,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-文学、历史、哲学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424031,05422,2111361,中国传统文化撷英（翻转）,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424033,05424,2110009,大学二外日语A,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-文学、历史、哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424036,05427,2111330,《说文解字》与中国古代科技文化,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424037,05428,2111386,语言、文字与认知,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424039,05430,2111204,中国现代新诗艺术,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424041,05432,2120224,人工智能与教育,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
424042,05433,2120220,社会心理学,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424043,05434,2120234,探寻数据之美（翻转）,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
424045,05436,2120238,仿真RC遥控车概述,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
424046,05437,2120218,证券与期货投资,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424047,05438,2120217,人与社会,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424049,05440,2120246,数据处理与管理基础,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424053,05444,2200104,创新理论方法与生态文明建设实践（全英文）,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
424058,05449,2200099,环境污染与健康,"      	文化素质选修-环境、心理、健康,
